name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,linux-armv7l,linux-ppc64le,noarch,osx-64,osx-arm64,win-32,win-64,win-arm64
bottleneck,,False,,1.6.0,2025-11-10,pandas/astropy,,Fast NumPy array functions written in Cython.,https://github.com/pydata/bottleneck,https://github.com/pydata/bottleneck,https://bottleneck.readthedocs.io/,BSD-2-Clause,7,libgcc/numpy/python/python_abi/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False
bpytop,,True,,1.0.68,2021-12-22,,,"Resource monitor that shows usage and stats for processor, memory, disks, network and processes.",https://github.com/aristocratos/bpytop,,,Apache-2.0,2,psutil/python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
bump2version,,False,,1.0.1,2024-12-22,,,Version-bump your software with a single command!,https://github.com/c4urself/bump2version,https://github.com/c4urself/bump2version,https://github.com/c4urself/bump2version,MIT,2,python/python_abi,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False
cairocffi,,True,,1.7.1,2026-01-01,,,cffi-based cairo bindings for Python,https://github.com/Kozea/cairocffi,,,BSD-3-Clause,3,cairo/cffi/python,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False
certifi,,False,,2026.4.22,2026-04-22,astropy,,Python package for providing Mozilla's CA Bundle.,http://certifi.io/,https://github.com/certifi/python-certifi,https://pypi.python.org/pypi/certifi,ISC,4,pypy3.8/pypy3.9/python/python_abi,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
cffi,,False,,2.0.0,2025-10-23,numba,,Foreign Function Interface for Python calling C code.,https://github.com/python-cffi/cffi,https://github.com/python-cffi/cffi,https://cffi.readthedocs.io,MIT,9,libffi/libgcc/pycparser/pypy3.9/python/python_abi/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
chardet,,False,,7.4.3,2024-08-29,,,Universal character encoding detector,https://github.com/chardet/chardet,https://github.com/chardet/chardet,http://chardet.readthedocs.org/,0BSD,2,python/python_abi,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
click,,True,,8.3.3,2022-10-26,,,Composable command line interface toolkit,https://palletsprojects.com/p/click/,https://github.com/pallets/click/,https://click.palletsprojects.com/,BSD-3-Clause,5,colorama/pypy3.8/pypy3.9/python/python_abi,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
colorama,,False,,0.4.6,2024-12-03,numba,,Cross-platform colored terminal text,https://github.com/tartley/colorama,https://github.com/tartley/colorama,http://pypi.python.org/pypi/colorama,BSD-3-Clause,1,python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
coloredlogs,,False,,15.0.1,2024-12-11,,,Colored terminal output for Python's logging module,https://coloredlogs.readthedocs.org,,,MIT,2,humanfriendly/python,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False
colormath,,True,,3.0.0,2025-01-01,,,Color math and conversion library.,https://github.com/gtaylor/python-colormath,https://github.com/gtaylor/python-colormath,http://python-colormath.readthedocs.io/en/latest/,BSD-3-Clause,3,networkx/numpy/python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
compilers,,False,,1.11.0,2025-07-21,numba,,A metapackage to obtain compilers,https://conda-forge.org,,,BSD-3-Clause,3,c-compiler/cxx-compiler/fortran-compiler,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False
conda,,True,,26.3.2,2026-04-29,,,"OS-agnostic, system-level binary package and environment manager.",https://conda.io,https://github.com/conda/conda,https://docs.conda.io/projects/conda/en/stable/,BSD-3-Clause,21,archspec/boltons/charset-normalizer/conda-libmamba-solver/conda-package-handling/distro/frozendict/jsonpatch/menuinst/packaging/platformdirs/pluggy/pycosat/python/python_abi/requests/ruamel.yaml/setuptools/tqdm/truststore/zstandard,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False
conda-smithy,,True,,3.61.2,2026-04-24,,,The tool for managing conda-forge feedstocks,https://github.com/conda-forge/conda-smithy,,,BSD-3-Clause,28,backports.strenum/cirun/conda/conda-build/conda-build-all/conda-forge-pinning/conda-package-handling/exceptiongroup/git/gitpython/jinja2/jsonschema/libarchive/license-expression/py-rattler/pycrypto/pycryptodome/pygit2/pygithub/python/rattler-build-conda-compat/requests/ruamel.yaml/scrypt/setuptools/tomli/toolz/vsts-python-api,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
contextily,,True,,1.7.0,2025-11-24,,,Context geo-tiles in Python,https://github.com/geopandas/contextily,,,BSD-3-Clause,12,cartopy/geopy/joblib/matplotlib-base/mercantile/pandas/pillow/python/rasterio/requests/six/xyzservices,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
cookiecutter,,True,,2.7.1,2019-11-03,,,"A command-line utility that creates projects from project templates, e.g. creating a Python package project from a Python package project template.",https://github.com/cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,https://cookiecutter.readthedocs.io,BSD-3-Clause,9,binaryornot/click/future/jinja2/jinja2-time/poyo/python/requests/whichcraft,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
coverage,,False,,7.13.5,2026-03-17,,,Code coverage measurement for Python,https://coverage.readthedocs.io,,,Apache-2.0,7,libgcc/python/python_abi/tomli/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
cubinlinker,rapidsai,False,,0.3.0,2025-05-05,numba,,CUDA Binary Linker to support Minor Version Compatibility,https://rapids.ai,,,,7,libgcc/libgcc-ng/libstdcxx/libstdcxx-ng/ptxcompiler/python/python_abi,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
cuda-python,,True,,13.2.0,2024-12-23,numba,,CUDA Python,https://nvidia.github.io/cuda-python/,https://github.com/NVIDIA/cuda-python,https://nvidia.github.io/cuda-python/,LicenseRef-NVIDIA-SOFTWARE-LICENSE,12,cuda-nvrtc/cuda-version/libgcc/libgcc-ng/libstdcxx/libstdcxx-ng/python/python_abi/pywin32/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False
custom-inherit,,False,,2.4.1,2023-02-19,,,A Python package that provides customized docstring inheritance schemes between derived classes and their parents.,https://github.com/rsokl/custom_inherit,,https://github.com/rsokl/custom_inherit/blob/master/README.md,MIT,1,python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
